,P7,O1,O2,P8,TIME
0,4604.103,3964.103,3870.769,4298.462,1603843389.7061
1,4601.538,3964.103,3878.462,4292.308,1603843389.714
2,4595.385,3970.256,3898.462,4300.513,1603843389.7219
3,4596.923,3975.385,3897.436,4310.256,1603843389.7298
4,4607.692,3971.795,3882.564,4309.744,1603843389.7376
5,4609.231,3966.667,3877.949,4302.564,1603843389.7455
6,4599.487,3966.154,3885.128,4300.513,1603843389.7533
7,4595.385,3966.667,3890.256,4303.077,1603843389.7613
8,4598.974,3964.615,3889.744,4304.615,1603843389.7691
9,4598.462,3963.077,3881.538,4302.564,1603843389.7768
10,4602.051,3968.205,3880.0,4303.59,1603843389.7846
11,4609.231,3978.462,3892.821,4312.821,1603843389.7924
12,4607.692,3978.462,3900.513,4317.949,1603843389.8002
13,4602.051,3969.744,3896.923,4311.795,1603843389.8079
14,4603.077,3964.103,3885.641,4301.538,1603843389.8157
15,4601.026,3960.0,3872.821,4293.333,1603843389.8234
16,4596.41,3959.487,3878.974,4293.846,1603843389.8313
17,4599.487,3965.641,3896.923,4296.41,1603843389.839
18,4600.513,3964.103,3888.718,4293.333,1603843389.8468
19,4594.872,3957.949,3876.923,4295.897,1603843389.8545
20,4592.821,3963.59,3892.308,4304.103,1603843389.8623
21,4599.487,3969.744,3910.256,4309.231,1603843389.8701
22,4606.667,3966.667,3903.59,4307.692,1603843389.878
23,4604.103,3964.103,3889.744,4302.564,1603843389.8858
24,4601.538,3966.667,3892.821,4300.513,1603843389.8937
25,4606.667,3968.718,3894.359,4300.0,1603843389.9015
26,4607.692,3969.744,3893.846,4294.872,1603843389.9095
27,4603.59,3971.282,3901.538,4293.846,1603843389.9173
28,4606.154,3972.308,3903.59,4304.103,1603843389.9252
29,4608.718,3975.385,3901.026,4317.949,1603843389.933
30,4606.154,3975.385,3908.205,4318.974,1603843389.9409
31,4603.59,3966.667,3903.077,4308.718,1603843389.9488
32,4599.487,3958.974,3883.077,4299.487,1603843389.9565
33,4598.462,3958.462,3882.051,4296.41,1603843389.9643
34,4604.615,3964.103,3890.256,4297.436,1603843389.972
35,4609.744,3970.769,3897.436,4303.59,1603843389.9798
36,4609.744,3978.462,3912.308,4309.744,1603843389.9876
37,4611.282,3980.0,3909.744,4311.282,1603843389.9954
38,4610.256,3971.795,3891.282,4312.308,1603843390.0031
39,4604.103,3964.615,3891.795,4311.795,1603843390.0109
40,4603.077,3967.692,3904.103,4306.154,1603843390.0186
41,4606.667,3969.744,3894.872,4300.513,1603843390.0265
42,4609.231,3967.692,3882.564,4300.0,1603843390.0342
43,4610.769,3967.179,3887.179,4305.641,1603843390.042
44,4610.769,3966.154,3892.821,4309.744,1603843390.0497
45,4607.692,3964.615,3894.359,4310.256,1603843390.0576
46,4605.128,3967.179,3897.949,4310.256,1603843390.0655
47,4605.128,3967.179,3897.949,4312.821,1603843390.0734
48,4605.128,3967.179,3894.872,4315.385,1603843390.0812
49,4608.718,3972.821,3894.872,4317.436,1603843390.0891
50,4614.359,3977.949,3903.077,4321.026,1603843390.0969
