,P7,O1,O2,P8,TIME
0,4638.974,3968.205,3906.154,4315.897,1603752892.4397
1,4623.077,3962.051,3904.103,4309.231,1603752892.4475
2,4613.333,3961.538,3901.026,4303.077,1603752892.4555
3,4625.128,3961.538,3895.385,4292.821,1603752892.4633
4,4632.821,3959.487,3900.513,4301.538,1603752892.4712
5,4628.718,3964.103,3913.333,4320.0,1603752892.479
6,4625.641,3963.59,3916.923,4325.128,1603752892.4867
7,4624.103,3950.256,3905.128,4317.436,1603752892.4946
8,4622.051,3944.615,3898.974,4317.436,1603752892.5023
9,4615.385,3946.667,3900.0,4320.513,1603752892.5102
10,4601.538,3939.487,3889.744,4311.795,1603752892.518
11,4606.667,3945.128,3883.59,4308.205,1603752892.5259
12,4630.256,3963.59,3890.769,4316.41,1603752892.5336
13,4634.359,3965.641,3893.846,4315.897,1603752892.5414
14,4621.538,3958.974,3893.333,4306.154,1603752892.5491
15,4619.487,3955.897,3893.333,4310.769,1603752892.5569
16,4613.846,3948.205,3888.718,4313.333,1603752892.5647
17,4598.974,3944.615,3882.564,4300.513,1603752892.5726
18,4602.051,3949.744,3884.615,4301.026,1603752892.5804
19,4620.513,3951.282,3893.846,4317.949,1603752892.5883
20,4626.154,3953.846,3897.436,4320.0,1603752892.5961
21,4611.282,3953.846,3887.179,4301.538,1603752892.6041
22,4597.949,3946.154,3880.513,4294.359,1603752892.6119
23,4604.615,3947.179,3891.282,4311.795,1603752892.6198
24,4613.333,3952.821,3899.487,4322.564,1603752892.6276
25,4611.282,3947.179,3895.385,4316.41,1603752892.6355
26,4608.718,3940.513,3890.256,4313.333,1603752892.6434
27,4608.718,3943.59,3886.667,4311.282,1603752892.6513
28,4607.692,3949.744,3888.205,4306.154,1603752892.6591
29,4612.821,3955.897,3893.846,4307.692,1603752892.6668
30,4618.974,3957.949,3894.872,4308.718,1603752892.6746
31,4613.333,3949.744,3886.154,4303.077,1603752892.6824
32,4605.128,3947.179,3882.564,4300.513,1603752892.6902
33,4604.615,3951.282,3885.128,4298.974,1603752892.6979
34,4596.923,3940.513,3878.974,4295.897,1603752892.7057
35,4585.641,3927.179,3871.795,4295.385,1603752892.7134
36,4591.795,3937.949,3872.821,4290.256,1603752892.7213
37,4602.051,3949.744,3873.333,4280.0,1603752892.729
38,4605.128,3946.667,3876.923,4288.718,1603752892.7368
39,4614.872,3954.872,3889.744,4312.821,1603752892.7445
40,4626.154,3974.359,3896.923,4321.026,1603752892.7524
41,4623.077,3970.769,3893.846,4314.872,1603752892.7603
42,4606.667,3951.795,3891.795,4310.769,1603752892.7682
43,4595.385,3957.949,3889.744,4300.513,1603752892.776
44,4603.077,3973.846,3889.744,4291.795,1603752892.7839
45,4610.256,3957.436,3882.051,4291.282,1603752892.7918
46,4601.026,3932.308,3870.256,4293.333,1603752892.7997
47,4600.513,3940.513,3874.872,4298.974,1603752892.8075
48,4601.026,3951.795,3878.974,4298.462,1603752892.8154
49,4595.385,3947.179,3869.231,4291.795,1603752892.8232
50,4608.205,3951.282,3869.231,4303.59,1603752892.8312
51,4609.231,3953.333,3876.41,4309.744,1603752892.8391
52,4587.692,3946.667,3870.256,4288.205,1603752892.8469
53,4601.538,3954.872,3876.41,4292.308,1603752892.8547
54,4630.256,3967.179,3893.846,4321.026,1603752892.8624
55,4618.974,3969.744,3885.128,4313.846,1603752892.8703
56,4595.385,3966.667,3868.718,4289.744,1603752892.878
57,4601.026,3960.0,3878.462,4298.974,1603752892.8858
58,4601.538,3945.641,3884.103,4306.667,1603752892.8935
59,4585.128,3944.103,3870.256,4291.282,1603752892.9013
60,4589.744,3959.487,3872.308,4288.718,1603752892.9091
61,4598.462,3954.359,3879.487,4295.385,1603752892.9169
62,4588.718,3936.923,3868.205,4289.744,1603752892.9246
63,4586.154,3943.077,3866.667,4284.615,1603752892.9324
64,4588.718,3947.692,3872.308,4283.59,1603752892.9401
65,4578.462,3944.615,3861.538,4281.026,1603752892.9481
66,4587.179,3958.974,3858.974,4285.641,1603752892.9559
67,4592.308,3954.872,3863.59,4289.744,1603752892.9638
68,4582.051,3941.026,3853.846,4285.128,1603752892.9716
69,4586.154,3946.667,3850.256,4279.487,1603752892.9795
70,4605.641,3949.744,3867.179,4286.667,1603752892.9874
71,4608.205,3952.308,3875.897,4298.974,1603752892.9953
72,4588.205,3955.897,3873.846,4303.59,1603752893.0031
73,4589.231,3954.359,3871.282,4299.487,1603752893.011
74,4612.821,3962.564,3862.564,4291.282,1603752893.0188
75,4606.667,3969.231,3861.538,4289.231,1603752893.0266
76,4579.487,3956.41,3866.154,4297.436,1603752893.0344
77,4604.103,3968.718,3872.308,4309.231,1603752893.0421
78,4635.385,3990.769,3874.872,4308.205,1603752893.0499
79,4603.59,3969.744,3865.641,4292.308,1603752893.0577
80,4596.923,3952.821,3867.692,4293.846,1603752893.0655
81,4612.821,3954.359,3884.615,4307.692,1603752893.0732
82,4602.051,3961.538,3887.179,4307.692,1603752893.081
83,4617.949,3981.538,3877.949,4300.0,1603752893.0887
84,4622.051,3980.513,3872.821,4298.462,1603752893.0966
85,4593.846,3965.641,3876.41,4300.0,1603752893.1043
86,4621.538,3985.641,3887.692,4305.641,1603752893.1121
87,4666.154,4006.667,3894.872,4317.436,1603752893.1199
88,4635.385,3984.615,3889.744,4318.974,1603752893.1277
89,4619.487,3981.026,3890.256,4313.846,1603752893.1356
90,4646.667,3998.462,3892.821,4313.846,1603752893.1434
91,4634.872,3985.128,3891.282,4316.923,1603752893.1512
92,4629.744,3977.436,3898.974,4323.59,1603752893.1589
93,4649.744,3993.846,3900.0,4327.179,1603752893.1668
94,4651.282,3997.436,3895.385,4329.744,1603752893.1747
95,4640.0,3983.077,3889.744,4321.026,1603752893.1825
96,4632.821,3977.436,3875.897,4311.795,1603752893.1904
97,4631.795,3980.0,3871.282,4319.487,1603752893.1982
98,4633.333,3980.513,3880.513,4327.692,1603752893.2061
99,4632.308,3980.0,3885.641,4322.564,1603752893.214
100,4629.744,3978.462,3885.641,4322.051,1603752893.2217
101,4629.231,3968.205,3885.641,4323.59,1603752893.2296
102,4624.103,3962.051,3884.103,4318.974,1603752893.2374
103,4620.0,3975.385,3890.256,4321.026,1603752893.2453
104,4626.154,3982.564,3892.821,4325.641,1603752893.253
105,4631.795,3980.0,3880.0,4321.026,1603752893.2608
106,4633.333,3984.615,3875.897,4316.41,1603752893.2685
107,4626.154,3983.59,3886.154,4317.436,1603752893.2763
108,4612.308,3970.769,3887.179,4314.359,1603752893.2841
109,4612.821,3967.692,3883.077,4313.846,1603752893.2919
110,4629.231,3979.487,3890.256,4324.615,1603752893.2996
111,4637.949,3989.744,3894.872,4331.282,1603752893.3075
112,4632.308,3989.744,3888.205,4323.59,1603752893.3153
113,4626.154,3985.641,3886.154,4320.0,1603752893.3233
114,4627.179,3986.154,3888.205,4323.59,1603752893.3311
115,4630.769,3987.692,3887.179,4321.538,1603752893.339
116,4622.564,3984.615,3886.154,4320.0,1603752893.3468
117,4615.897,3984.103,3889.744,4327.179,1603752893.3547
118,4624.615,3985.128,3890.769,4327.692,1603752893.3626
119,4634.359,3986.154,3889.744,4321.538,1603752893.3705
120,4628.205,3987.179,3889.231,4316.923,1603752893.3783
121,4616.41,3985.128,3887.179,4312.821,1603752893.3862
122,4617.949,3983.59,3887.692,4313.846,1603752893.3941
123,4624.615,3987.179,3891.795,4320.513,1603752893.402
124,4627.179,3989.231,3899.487,4327.179,1603752893.4098
125,4629.744,3986.154,3903.077,4332.308,1603752893.4175
126,4625.641,3981.538,3894.872,4329.231,1603752893.4253
127,4612.821,3977.949,3887.179,4318.974,1603752893.433
128,4612.821,3980.513,3889.744,4317.436,1603752893.4409
129,4622.564,3985.128,3894.359,4323.59,1603752893.4486
130,4627.692,3987.692,3900.0,4332.821,1603752893.4565
131,4631.282,3988.718,3902.051,4337.436,1603752893.4643
132,4633.846,3990.256,3898.974,4334.359,1603752893.4722
133,4630.256,3991.795,3895.385,4331.282,1603752893.4799
134,4623.077,3989.744,3890.769,4332.308,1603752893.4877
135,4621.538,3987.692,3888.205,4329.744,1603752893.4954
136,4633.846,3993.846,3890.256,4332.308,1603752893.5033
137,4646.667,4001.026,3890.256,4337.436,1603752893.5112
138,4641.538,3999.487,3892.308,4335.897,1603752893.5191
139,4630.769,3994.359,3897.436,4337.949,1603752893.5269
140,4633.333,3994.872,3893.333,4342.051,1603752893.5348
141,4640.0,3998.974,3888.205,4338.462,1603752893.5426
142,4637.436,3995.897,3892.821,4336.923,1603752893.5506
143,4632.308,3989.231,3894.872,4339.487,1603752893.5584
144,4631.282,3991.795,3893.333,4338.974,1603752893.5663
145,4632.821,3996.923,3899.487,4338.974,1603752893.5741
146,4631.795,3992.821,3902.051,4342.051,1603752893.5818
147,4626.667,3987.692,3895.897,4340.0,1603752893.5897
148,4620.0,3985.641,3888.205,4330.256,1603752893.5974
149,4624.615,3986.667,3888.205,4329.744,1603752893.6052
150,4629.231,3989.231,3890.769,4336.923,1603752893.6129
151,4612.308,3985.128,3885.641,4326.667,1603752893.6207
152,4590.256,3977.436,3874.872,4303.077,1603752893.6285
153,4595.897,3977.436,3877.949,4306.667,1603752893.6363
154,4617.949,3977.949,3890.256,4329.744,1603752893.644
155,4622.051,3976.923,3887.179,4327.692,1603752893.6518
156,4614.872,3982.051,3880.513,4312.308,1603752893.6595
157,4618.462,3987.179,3887.692,4315.897,1603752893.6675
158,4625.128,3985.128,3890.769,4324.615,1603752893.6753
159,4620.0,3989.744,3888.205,4319.487,1603752893.6832
160,4612.821,3993.846,3890.769,4318.462,1603752893.691
161,4608.718,3984.615,3890.769,4329.744,1603752893.6989
162,4608.718,3980.513,3892.821,4340.513,1603752893.7068
163,4616.923,3990.769,3901.538,4340.513,1603752893.7147
164,4619.487,3988.205,3902.564,4334.359,1603752893.7225
165,4610.769,3977.436,3898.462,4336.41,1603752893.7304
166,4617.949,3986.154,3898.462,4338.974,1603752893.7383
167,4633.333,4001.538,3896.923,4332.308,1603752893.7461
168,4634.872,4002.051,3899.487,4335.897,1603752893.7539
169,4625.641,3989.744,3901.538,4345.128,1603752893.7616
170,4612.821,3980.0,3891.795,4338.462,1603752893.7694
171,4603.077,3981.538,3889.231,4328.205,1603752893.7772
172,4610.769,3986.667,3899.487,4331.795,1603752893.785
173,4615.897,3983.59,3898.462,4332.308,1603752893.7927
174,4609.231,3976.41,3887.692,4321.026,1603752893.8005
175,4608.205,3977.436,3888.718,4315.897,1603752893.8082
176,4609.231,3978.462,3890.769,4320.513,1603752893.8161
177,4612.308,3978.462,3887.179,4327.692,1603752893.8238
178,4625.641,3984.615,3895.385,4341.538,1603752893.8316
179,4635.897,3993.846,3908.205,4353.333,1603752893.8393
180,4629.231,3994.872,3904.615,4347.179,1603752893.8471
181,4617.436,3990.256,3897.949,4338.462,1603752893.8549
