,P7,O1,O2,P8,TIME
0,4591.282,3958.462,3877.949,4311.282,1603841794.767
1,4596.41,3960.513,3878.462,4306.154,1603841794.7748
2,4598.462,3963.59,3880.513,4305.641,1603841794.7825
3,4601.538,3967.179,3886.154,4307.692,1603841794.7903
4,4602.564,3969.744,3890.769,4314.872,1603841794.798
5,4599.487,3968.718,3889.231,4325.128,1603841794.8059
6,4598.462,3965.641,3892.308,4327.692,1603841794.8136
7,4598.974,3965.128,3896.923,4323.077,1603841794.8215
8,4596.41,3966.667,3892.821,4323.077,1603841794.8293
9,4597.436,3969.744,3888.718,4324.615,1603841794.8371
10,4598.974,3972.821,3892.308,4325.641,1603841794.8449
11,4600.513,3975.385,3896.923,4326.154,1603841794.8528
12,4601.026,3973.846,3893.333,4320.0,1603841794.8606
13,4596.923,3967.179,3886.154,4312.308,1603841794.8684
14,4592.308,3965.128,3885.641,4314.872,1603841794.8762
15,4596.41,3970.256,3892.308,4323.077,1603841794.8842
16,4597.436,3970.256,3892.308,4323.59,1603841794.892
17,4598.974,3969.744,3895.385,4329.231,1603841794.8999
18,4607.179,3974.872,3906.667,4341.026,1603841794.9077
19,4607.692,3977.436,3910.769,4342.564,1603841794.9156
20,4597.949,3975.385,3903.59,4334.359,1603841794.9235
21,4594.872,3974.359,3896.923,4327.179,1603841794.9314
22,4595.897,3971.282,3892.308,4325.641,1603841794.9392
23,4594.359,3973.333,3892.308,4324.615,1603841794.9469
24,4592.308,3974.359,3895.385,4320.513,1603841794.9547
25,4586.154,3968.718,3895.385,4318.974,1603841794.9625
26,4588.205,3972.821,3897.949,4327.692,1603841794.9703
27,4594.359,3979.487,3900.0,4330.769,1603841794.978
28,4590.769,3976.41,3897.436,4324.615,1603841794.9858
29,4583.077,3971.282,3895.897,4323.077,1603841794.9935
30,4583.59,3972.308,3897.436,4325.128,1603841795.0015
31,4587.179,3971.795,3896.41,4325.128,1603841795.0093
32,4585.641,3971.795,3895.897,4324.615,1603841795.0171
33,4583.59,3970.769,3895.897,4321.026,1603841795.0248
