,P7,O1,O2,P8,TIME
0,4584.615,3949.231,3863.59,4289.231,1603843412.689
1,4582.564,3953.846,3872.308,4298.974,1603843412.6969
2,4585.641,3954.872,3886.667,4304.615,1603843412.7047
3,4585.128,3951.795,3881.026,4302.051,1603843412.7124
4,4585.128,3951.795,3876.41,4301.026,1603843412.7203
5,4592.308,3954.872,3882.051,4304.103,1603843412.728
6,4595.385,3958.974,3885.641,4306.667,1603843412.7358
7,4594.359,3964.103,3885.641,4308.718,1603843412.7435
8,4595.897,3967.692,3885.128,4310.256,1603843412.7513
9,4595.897,3965.641,3880.513,4306.667,1603843412.7591
10,4592.308,3961.538,3879.487,4299.487,1603843412.767
11,4589.231,3958.462,3882.564,4296.923,1603843412.7748
12,4589.231,3953.846,3875.897,4297.949,1603843412.7826
13,4586.667,3951.795,3872.308,4293.333,1603843412.7903
14,4581.538,3953.333,3874.359,4287.179,1603843412.7983
15,4578.974,3948.718,3872.308,4282.051,1603843412.8061
16,4580.0,3943.59,3869.744,4277.436,1603843412.814
17,4576.923,3948.718,3869.231,4275.897,1603843412.8218
18,4577.436,3952.308,3869.744,4280.513,1603843412.8297
19,4584.103,3950.769,3870.769,4286.154,1603843412.8376
20,4589.231,3955.385,3873.846,4292.821,1603843412.8455
21,4589.231,3959.487,3878.462,4297.949,1603843412.8533
22,4584.615,3957.436,3882.051,4294.359,1603843412.8612
23,4583.077,3954.872,3876.41,4287.692,1603843412.869
24,4589.231,3956.923,3870.256,4289.744,1603843412.8768
25,4592.821,3960.513,3877.436,4294.872,1603843412.8847
26,4588.205,3962.051,3885.641,4298.462,1603843412.8925
27,4587.692,3964.103,3885.128,4301.026,1603843412.9003
28,4588.718,3961.026,3879.487,4298.462,1603843412.9081
29,4580.513,3955.385,3876.923,4288.718,1603843412.916
30,4578.462,3953.846,3875.385,4284.615,1603843412.9238
31,4586.154,3957.949,3874.872,4290.769,1603843412.9316
32,4592.308,3963.59,3881.538,4302.051,1603843412.9393
33,4589.231,3963.59,3886.667,4304.615,1603843412.9472
34,4581.026,3959.487,3877.949,4292.308,1603843412.9549
35,4580.513,3960.513,3871.795,4286.667,1603843412.9628
36,4588.718,3965.641,3880.513,4297.436,1603843412.9706
37,4595.385,3969.231,3887.179,4304.615,1603843412.9785
38,4599.487,3971.282,3888.205,4305.641,1603843412.9864
39,4602.051,3973.333,3891.282,4310.256,1603843412.9943
40,4596.923,3970.256,3890.256,4309.744,1603843413.0021
41,4592.821,3967.179,3888.205,4304.615,1603843413.01
42,4600.513,3969.231,3890.256,4307.179,1603843413.0178
43,4604.103,3972.308,3895.385,4316.41,1603843413.0258
44,4600.513,3976.41,3906.154,4320.513,1603843413.0336
45,4598.462,3975.385,3906.154,4313.333,1603843413.0415
46,4600.513,3970.256,3886.667,4305.128,1603843413.0493
47,4602.051,3971.282,3878.974,4306.154,1603843413.057
48,4597.949,3969.744,3887.179,4307.692,1603843413.0649
49,4597.436,3963.59,3886.667,4305.641,1603843413.0726
50,4605.641,3969.744,3888.718,4309.744,1603843413.0804
