,P7,O1,O2,P8,TIME
0,4641.538,3995.385,3917.949,4243.59,1603843631.5206
1,4642.051,3996.923,3923.59,4246.154,1603843631.5285
2,4638.974,3992.821,3924.615,4246.667,1603843631.5363
3,4641.026,3995.897,3917.949,4246.667,1603843631.5442
4,4658.462,4010.256,3925.128,4252.308,1603843631.5521
5,4661.538,4009.744,3936.923,4257.949,1603843631.56
6,4647.692,3992.821,3933.333,4256.923,1603843631.5678
7,4649.744,3993.846,3924.615,4253.333,1603843631.5757
8,4657.436,4003.077,3921.538,4250.256,1603843631.5835
9,4649.744,3996.41,3918.974,4243.59,1603843631.5915
10,4648.205,3993.846,3917.436,4237.949,1603843631.5993
11,4652.308,3997.436,3917.949,4237.949,1603843631.6071
12,4649.231,3993.846,3920.0,4237.949,1603843631.6149
13,4649.744,3993.333,3925.641,4237.436,1603843631.6226
14,4644.103,3991.795,3932.821,4236.923,1603843631.6305
15,4627.692,3980.0,3927.692,4229.744,1603843631.6382
16,4623.59,3972.308,3900.513,4216.923,1603843631.646
17,4625.128,3967.692,3872.821,4205.128,1603843631.6537
18,4614.872,3957.949,3870.769,4204.615,1603843631.6615
19,4611.282,3959.487,3884.103,4208.205,1603843631.6693
20,4619.487,3969.744,3886.667,4204.103,1603843631.6771
21,4613.846,3964.615,3881.026,4198.462,1603843631.6848
22,4597.949,3951.282,3883.59,4196.41,1603843631.6926
23,4591.795,3943.077,3880.513,4186.154,1603843631.7003
24,4588.718,3939.487,3867.179,4173.333,1603843631.7083
25,4587.692,3939.487,3862.564,4175.385,1603843631.7161
26,4594.872,3947.179,3876.41,4182.051,1603843631.724
27,4598.462,3954.359,3880.0,4178.974,1603843631.7318
28,4587.179,3942.564,3856.41,4167.692,1603843631.7397
29,4570.769,3917.949,3840.0,4156.923,1603843631.7476
30,4557.949,3905.641,3836.923,4145.641,1603843631.7555
31,4549.744,3903.59,3815.385,4130.769,1603843631.7633
32,4543.077,3887.692,3790.769,4112.308,1603843631.7712
33,4533.846,3868.718,3782.564,4096.41,1603843631.779
34,4529.744,3876.41,3800.0,4099.487,1603843631.7869
35,4533.333,3891.795,3828.718,4113.333,1603843631.7947
36,4532.821,3883.59,3814.872,4114.872,1603843631.8024
37,4523.077,3864.615,3769.744,4101.026,1603843631.8102
38,4513.846,3858.462,3762.564,4085.128,1603843631.8179
39,4509.744,3857.436,3778.462,4076.923,1603843631.8258
40,4508.205,3854.872,3774.872,4078.462,1603843631.8335
41,4513.846,3854.359,3775.897,4084.103,1603843631.8413
42,4527.179,3856.41,3776.41,4087.692,1603843631.849
43,4538.974,3883.59,3792.821,4097.436,1603843631.8568
44,4536.41,3911.282,3832.308,4111.795,1603843631.8646
45,4534.359,3894.359,3827.179,4125.128,1603843631.8724
