,P7,O1,O2,P8,TIME
0,4574.872,3829.231,3839.487,4251.282,1603848193.1583
1,4575.385,3834.359,3838.974,4256.41,1603848193.1662
2,4575.897,3830.769,3833.333,4251.795,1603848193.174
3,4570.769,3820.513,3824.615,4243.59,1603848193.1817
4,4568.718,3818.462,3824.615,4246.667,1603848193.1895
5,4572.821,3823.59,3833.333,4257.436,1603848193.1973
6,4576.923,3828.205,3836.923,4264.615,1603848193.2051
7,4571.282,3824.103,3832.308,4258.462,1603848193.2128
8,4562.564,3810.769,3827.692,4249.744,1603848193.2206
9,4561.538,3802.564,3826.667,4248.718,1603848193.2284
10,4566.154,3808.205,3829.744,4252.821,1603848193.2362
11,4569.744,3817.949,3832.308,4253.846,1603848193.2439
12,4574.872,3817.436,3834.872,4256.41,1603848193.2517
13,4580.0,3821.026,3839.487,4263.077,1603848193.2594
14,4581.026,3827.692,3834.872,4257.949,1603848193.2673
15,4581.026,3817.436,3824.103,4246.154,1603848193.275
16,4581.538,3807.179,3829.744,4251.795,1603848193.2829
17,4583.59,3817.436,3840.513,4261.538,1603848193.2907
18,4585.128,3826.667,3835.385,4253.846,1603848193.2986
19,4587.179,3824.615,3835.385,4256.41,1603848193.3065
20,4585.641,3821.538,3843.59,4269.231,1603848193.3144
21,4579.487,3818.462,3836.923,4266.154,1603848193.3222
22,4571.795,3812.821,3825.641,4254.872,1603848193.3301
23,4571.795,3811.795,3823.077,4248.205,1603848193.3379
24,4571.282,3809.744,3821.026,4239.487,1603848193.3459
25,4568.718,3808.718,3820.513,4235.897,1603848193.3537
26,4570.256,3813.333,3825.641,4246.154,1603848193.3616
27,4573.333,3820.513,3829.744,4252.821,1603848193.3694
28,4571.795,3820.513,3826.667,4250.256,1603848193.3772
29,4570.769,3815.385,3824.103,4250.256,1603848193.385
30,4574.872,3820.513,3821.026,4249.744,1603848193.3927
31,4572.308,3821.538,3814.359,4237.949,1603848193.4005
32,4566.667,3811.282,3815.385,4232.821,1603848193.4082
33,4565.128,3808.205,3822.564,4237.436,1603848193.4161
34,4565.128,3811.282,3821.026,4233.333,1603848193.4238
35,4560.513,3805.641,3812.821,4225.641,1603848193.4316
36,4561.026,3805.641,3814.359,4230.769,1603848193.4393
37,4567.179,3816.923,3817.949,4235.897,1603848193.4471
38,4568.205,3822.051,3817.949,4236.923,1603848193.4549
39,4564.615,3817.436,3820.513,4240.513,1603848193.4628
40,4567.692,3818.462,3826.667,4247.179,1603848193.4706
41,4569.231,3822.051,3829.231,4249.231,1603848193.4785
42,4566.154,3824.615,3830.769,4251.282,1603848193.4864
