,P7,O1,O2,P8,TIME
0,4770.256,4121.538,3971.795,4394.872,1603843245.1628
1,4766.154,4115.897,3980.0,4403.077,1603843245.1707
2,4758.974,4113.846,3966.667,4390.256,1603843245.1784
3,4761.538,4111.795,3960.513,4385.128,1603843245.1862
4,4761.026,4105.128,3969.231,4396.41,1603843245.1939
5,4748.718,4098.974,3965.128,4393.333,1603843245.2017
6,4741.026,4096.41,3953.846,4375.385,1603843245.2095
7,4743.077,4097.949,3956.923,4377.436,1603843245.2174
8,4743.077,4098.462,3958.974,4378.974,1603843245.2253
9,4737.436,4093.333,3946.667,4355.385,1603843245.2331
10,4732.308,4087.179,3936.41,4347.179,1603843245.241
11,4730.256,4084.615,3941.538,4355.897,1603843245.2489
12,4733.846,4087.179,3947.692,4352.821,1603843245.2567
13,4740.513,4091.282,3947.179,4355.385,1603843245.2646
14,4742.564,4094.359,3959.487,4373.846,1603843245.2724
15,4738.462,4089.231,3967.692,4374.872,1603843245.2804
16,4740.0,4088.205,3945.641,4358.974,1603843245.2882
17,4751.795,4103.077,3929.744,4351.795,1603843245.2961
18,4751.795,4101.538,3943.077,4361.538,1603843245.3039
19,4741.538,4083.59,3949.744,4368.205,1603843245.3118
20,4736.41,4081.538,3941.026,4351.795,1603843245.3197
21,4730.256,4082.051,3933.333,4332.308,1603843245.3274
22,4725.128,4071.282,3932.308,4337.436,1603843245.3352
23,4734.359,4081.538,3948.205,4361.026,1603843245.3429
24,4741.538,4096.923,3955.897,4367.692,1603843245.3508
25,4728.718,4082.564,3942.564,4353.846,1603843245.3585
26,4723.59,4071.795,3938.974,4348.718,1603843245.3663
27,4735.897,4083.077,3943.077,4354.872,1603843245.374
28,4741.026,4090.256,3936.41,4361.538,1603843245.3818
29,4734.872,4086.154,3935.385,4368.205,1603843245.3896
30,4733.846,4082.564,3937.949,4367.179,1603843245.3974
31,4742.051,4089.744,3937.949,4363.077,1603843245.4051
32,4745.128,4097.436,3945.641,4374.872,1603843245.4129
33,4745.128,4095.385,3952.821,4388.205,1603843245.4206
34,4754.359,4104.615,3958.462,4394.872,1603843245.4286
35,4765.128,4128.718,3974.872,4399.487,1603843245.4364
36,4760.0,4122.564,3973.333,4390.769,1603843245.4443
37,4752.308,4097.436,3951.795,4386.154,1603843245.4521
38,4757.949,4101.538,3967.179,4402.564,1603843245.46
39,4767.179,4119.487,3994.359,4410.769,1603843245.4679
40,4771.282,4115.385,3969.744,4400.513,1603843245.4758
