,P7,O1,O2,P8,TIME
0,4610.769,3966.667,3903.59,4335.897,1603752959.9602
1,4609.231,3963.59,3899.487,4333.846,1603752959.9682
2,4605.128,3961.026,3893.846,4325.641,1603752959.976
3,4608.205,3962.564,3896.923,4326.667,1603752959.9839
4,4612.308,3964.103,3895.897,4330.769,1603752959.9917
5,4606.154,3959.487,3886.154,4321.538,1603752959.9996
6,4602.564,3955.897,3883.077,4314.359,1603752960.0075
7,4607.692,3958.974,3888.718,4320.0,1603752960.0154
8,4610.769,3962.051,3890.256,4326.667,1603752960.0232
9,4612.821,3964.103,3890.769,4328.205,1603752960.0311
10,4615.897,3965.641,3891.282,4326.154,1603752960.0389
11,4612.308,3961.538,3885.641,4320.513,1603752960.0469
12,4605.128,3961.026,3883.59,4316.923,1603752960.0547
13,4608.205,3966.667,3890.256,4321.026,1603752960.0624
14,4613.333,3968.205,3893.846,4325.128,1603752960.0702
15,4607.692,3962.564,3886.667,4320.513,1603752960.078
16,4602.564,3957.949,3880.0,4313.333,1603752960.0858
17,4601.538,3954.872,3883.59,4312.308,1603752960.0935
18,4601.538,3951.282,3886.154,4317.436,1603752960.1014
19,4602.564,3952.308,3882.564,4315.897,1603752960.1092
20,4604.615,3956.923,3880.0,4310.256,1603752960.1171
21,4605.128,3960.513,3880.0,4311.282,1603752960.1248
22,4606.154,3958.462,3878.462,4315.385,1603752960.1326
23,4602.564,3952.821,3873.333,4310.256,1603752960.1403
24,4595.385,3948.718,3866.667,4304.103,1603752960.1481
25,4593.333,3948.205,3871.282,4308.718,1603752960.1559
26,4598.974,3954.359,3884.615,4317.436,1603752960.1638
27,4606.154,3961.538,3891.795,4321.026,1603752960.1716
28,4605.128,3961.538,3889.744,4318.462,1603752960.1795
29,4604.103,3960.513,3891.795,4318.462,1603752960.1873
30,4607.179,3967.179,3897.949,4321.538,1603752960.1953
31,4608.205,3970.769,3896.923,4318.974,1603752960.2031
32,4607.179,3967.179,3893.846,4311.282,1603752960.211
33,4606.667,3966.154,3893.333,4310.256,1603752960.2188
34,4604.615,3965.128,3891.282,4315.897,1603752960.2267
35,4602.051,3962.564,3889.231,4316.41,1603752960.2346
36,4597.436,3957.949,3889.231,4308.205,1603752960.2423
37,4590.256,3950.769,3887.692,4304.615,1603752960.2501
38,4588.718,3949.231,3885.641,4309.231,1603752960.2578
39,4593.846,3953.846,3887.179,4311.282,1603752960.2656
40,4597.949,3958.974,3891.282,4312.308,1603752960.2734
41,4601.538,3961.538,3899.487,4317.949,1603752960.2812
42,4600.513,3960.0,3901.026,4317.436,1603752960.2889
43,4595.897,3957.436,3898.462,4311.795,1603752960.2967
44,4596.923,3961.538,3897.436,4314.359,1603752960.3044
45,4599.487,3963.59,3894.359,4314.872,1603752960.3123
46,4596.41,3957.436,3890.256,4309.744,1603752960.32
47,4593.333,3950.769,3886.667,4304.103,1603752960.3278
48,4598.462,3954.359,3886.154,4302.564,1603752960.3355
49,4602.564,3961.538,3892.821,4306.154,1603752960.3435
50,4600.0,3962.051,3901.026,4311.282,1603752960.3513
51,4598.462,3958.462,3901.026,4312.821,1603752960.3592
52,4595.897,3955.897,3900.0,4313.846,1603752960.367
53,4585.641,3950.256,3895.385,4312.308,1603752960.3749
54,4581.538,3944.615,3885.128,4304.103,1603752960.3828
55,4586.667,3946.667,3883.59,4299.487,1603752960.3907
56,4589.231,3949.744,3889.231,4302.564,1603752960.3985
57,4588.718,3949.231,3887.692,4304.103,1603752960.4063
58,4592.821,3950.769,3884.615,4302.564,1603752960.4141
59,4595.385,3953.333,3888.205,4302.564,1603752960.4219
60,4591.282,3951.795,3888.718,4302.051,1603752960.4297
61,4589.231,3949.231,3888.718,4304.103,1603752960.4374
62,4588.718,3949.231,3890.769,4310.256,1603752960.4452
63,4588.205,3948.718,3887.179,4310.256,1603752960.4529
64,4591.282,3951.282,3886.154,4308.718,1603752960.4608
65,4597.436,3956.923,3896.923,4312.821,1603752960.4685
66,4596.41,3956.41,3899.487,4313.846,1603752960.4763
67,4591.282,3950.769,3891.282,4310.769,1603752960.484
68,4590.769,3948.718,3890.256,4310.256,1603752960.4918
69,4594.359,3952.821,3891.795,4310.769,1603752960.4996
70,4598.462,3959.487,3890.769,4311.282,1603752960.5074
71,4598.974,3964.103,3890.769,4312.308,1603752960.5151
72,4594.359,3960.513,3884.615,4309.231,1603752960.523
73,4592.821,3952.821,3873.333,4307.179,1603752960.5308
74,4595.385,3948.718,3874.359,4307.692,1603752960.5388
75,4596.923,3951.795,3885.641,4309.231,1603752960.5466
76,4596.923,3955.385,3889.744,4313.333,1603752960.5545
77,4594.872,3951.282,3884.103,4311.282,1603752960.5623
78,4593.846,3951.795,3884.615,4310.256,1603752960.5702
79,4596.923,3958.974,3888.718,4315.897,1603752960.5781
80,4603.077,3963.59,3888.205,4313.846,1603752960.586
81,4601.026,3961.538,3884.615,4305.641,1603752960.5939
82,4594.872,3957.949,3883.077,4307.179,1603752960.6017
83,4593.846,3957.436,3883.59,4310.256,1603752960.6096
84,4597.436,3961.026,3884.615,4309.231,1603752960.6174
85,4596.923,3963.077,3885.128,4310.256,1603752960.6252
86,4593.333,3958.462,3886.154,4311.795,1603752960.6329
87,4592.821,3956.41,3883.077,4308.205,1603752960.6407
88,4595.897,3959.487,3878.974,4305.641,1603752960.6485
89,4598.974,3963.59,3882.564,4311.282,1603752960.6563
90,4599.487,3963.59,3887.692,4317.949,1603752960.664
91,4598.974,3959.487,3887.692,4318.462,1603752960.6718
92,4596.41,3958.462,3882.564,4313.846,1603752960.6795
93,4592.821,3957.436,3882.051,4310.256,1603752960.6874
94,4593.333,3954.872,3884.615,4307.179,1603752960.6951
95,4590.769,3951.795,3878.462,4302.051,1603752960.703
96,4586.667,3948.718,3871.282,4299.487,1603752960.7108
97,4591.282,3948.205,3880.0,4304.103,1603752960.7187
98,4594.359,3951.282,3888.205,4310.256,1603752960.7266
99,4592.308,3956.41,3882.564,4313.333,1603752960.7345
100,4593.333,3955.385,3880.0,4309.744,1603752960.7423
101,4594.359,3951.795,3883.59,4303.59,1603752960.7502
102,4590.256,3949.744,3882.051,4305.128,1603752960.758
103,4593.846,3952.821,3883.59,4313.846,1603752960.766
104,4601.538,3957.949,3890.256,4317.436,1603752960.7738
105,4605.128,3961.026,3892.308,4316.923,1603752960.7815
106,4604.103,3961.538,3888.205,4315.385,1603752960.7893
107,4601.538,3958.974,3884.615,4311.282,1603752960.797
108,4600.513,3956.41,3882.051,4310.769,1603752960.8049
109,4602.051,3957.436,3882.564,4312.821,1603752960.8126
110,4603.077,3956.923,3886.667,4314.359,1603752960.8204
111,4598.462,3950.769,3885.128,4312.308,1603752960.8281
112,4594.359,3948.205,3881.026,4313.846,1603752960.8359
113,4594.359,3953.333,3883.077,4318.462,1603752960.8437
114,4596.923,3956.41,3887.179,4319.487,1603752960.8515
115,4601.026,3957.436,3888.205,4316.923,1603752960.8592
116,4605.128,3964.615,3892.821,4317.436,1603752960.8671
117,4601.538,3965.128,3896.41,4318.974,1603752960.875
118,4596.41,3953.846,3890.769,4314.872,1603752960.8829
119,4597.949,3952.821,3885.641,4310.256,1603752960.8907
120,4597.436,3960.0,3884.615,4310.769,1603752960.8986
121,4595.385,3960.513,3885.128,4311.795,1603752960.9064
122,4594.872,3958.974,3886.154,4311.282,1603752960.9144
123,4593.846,3963.59,3886.154,4310.256,1603752960.9222
124,4597.949,3970.256,3887.179,4312.821,1603752960.9301
125,4605.128,3973.846,3891.795,4320.0,1603752960.9379
126,4606.154,3973.846,3894.872,4322.564,1603752960.9458
127,4604.103,3969.744,3892.821,4320.0,1603752960.9537
128,4604.103,3967.692,3893.333,4320.513,1603752960.9616
129,4601.538,3963.59,3891.795,4319.487,1603752960.9695
