title:your record name, start timestamp:1602278597.879234, stop timestamp:1602278628.150301, headset type:EPOC, headset serial:78560553, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:3872      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602278597.879234,11.000000,0.000000,3912.820557,4617.948730,4164.615234,4247.692383,3894.358887,4604.102539,3966.666748,3879.487061,4310.256348,4020.000000,4203.077148,4130.769043,4078.461426,3973.333252,239.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.887157,12.000000,0.000000,3916.923096,4620.000000,4161.025879,4251.282227,3914.358887,4603.589844,3968.205078,3882.051270,4313.333496,4021.025635,4213.333496,4134.871582,4093.333252,3975.897461,426.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.894980,13.000000,0.000000,3918.461426,4625.128418,4161.025879,4265.641113,3919.487061,4603.589844,3967.179443,3878.974365,4308.717773,4020.512939,4218.974121,4142.563965,4086.666748,3977.948730,357.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.902703,14.000000,0.000000,3913.333252,4631.282227,4161.538574,4260.000000,3900.512939,4605.641113,3960.512939,3870.256348,4302.051270,4019.487061,4209.743652,4138.974121,4072.820557,3975.384521,445.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.910526,15.000000,0.000000,3912.307617,4631.282227,4160.000000,4248.717773,3902.564209,4604.102539,3958.974365,3870.256348,4304.102539,4017.948730,4204.102539,4133.846191,4087.179443,3973.333252,239.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.918249,16.000000,0.000000,3917.435791,4631.794922,4165.128418,4259.487305,3913.846191,4602.563965,3964.615479,3870.769287,4305.641113,4017.435791,4210.256348,4136.410156,4102.563965,3974.358887,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.926071,17.000000,0.000000,3919.487061,4635.384766,4165.641113,4270.256348,3907.692383,4607.179688,3969.743652,3869.743652,4302.051270,4018.974365,4210.769043,4135.897461,4090.256348,3975.897461,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.933794,18.000000,0.000000,3923.076904,4627.692383,4161.538574,4263.589844,3905.641113,4611.794922,3967.692383,3876.923096,4304.615234,4021.538574,4205.641113,4135.897461,4070.256348,3977.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.941617,19.000000,0.000000,3928.205078,4615.897461,4165.641113,4260.000000,3906.153809,4603.589844,3960.512939,3882.051270,4309.230957,4020.512939,4208.205078,4141.025879,4067.692383,3980.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278597.949339,20.000000,0.000000,3925.641113,4627.692383,4170.256348,4261.025879,3904.615479,4595.384766,3963.076904,3877.948730,4310.256348,4017.948730,4216.410156,4145.128418,4082.051270,3982.051270,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
