title:your record name, start timestamp:1602278927.052755, stop timestamp:1602278957.354828, headset type:EPOC, headset serial:78900557, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:3876      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602278927.052755,50.000000,0.000000,3906.666748,4596.922852,4185.641113,4217.436035,3918.461426,4618.974121,3943.076904,3851.281982,4273.846191,3936.410156,4205.128418,4123.589844,4064.615479,3950.256348,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.060682,51.000000,0.000000,3902.051270,4590.256348,4184.615234,4202.563965,3928.205078,4605.128418,3937.435791,3836.410156,4262.051270,3932.820557,4196.922852,4122.051270,4061.025635,3947.179443,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.068509,52.000000,0.000000,3886.153809,4571.282227,4185.128418,4196.922852,3922.564209,4580.512695,3900.512939,3821.538574,4249.230957,3927.179443,4188.205078,4112.820313,4031.281982,3936.923096,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.076436,53.000000,0.000000,3891.794922,4576.922852,4186.666504,4203.077148,3923.589844,4588.717773,3909.230713,3835.897461,4255.384766,3932.820557,4191.282227,4116.410156,4012.307617,3943.076904,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.084263,54.000000,0.000000,3901.538574,4594.871582,4184.102539,4215.384766,3936.923096,4628.717773,3949.743652,3853.333252,4273.333496,3940.512939,4197.948730,4123.589844,4043.589844,3948.205078,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.092190,55.000000,0.000000,3890.256348,4600.000000,4186.153809,4221.025879,3943.589844,4638.461426,3958.974365,3848.718018,4278.461426,3936.410156,4196.410156,4114.871582,4070.769287,3939.487061,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.100016,56.000000,0.000000,3881.538574,4591.794922,4187.179688,4208.205078,3930.256348,4609.230957,3930.769287,3835.384521,4264.102539,3928.205078,4188.205078,4100.512695,4049.743652,3932.307617,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.107743,57.000000,0.000000,3885.128174,4577.948730,4184.102539,4195.897461,3909.230713,4587.179688,3894.358887,3828.718018,4249.743652,3927.692383,4174.358887,4097.948730,4023.589844,3932.307617,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.115570,58.000000,0.000000,3888.718018,4573.846191,4183.589844,4202.563965,3909.743652,4593.846191,3905.641113,3837.435791,4257.436035,3930.256348,4172.307617,4105.641113,4031.794922,3934.871826,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.123296,59.000000,0.000000,3891.794922,4585.641113,4187.179688,4211.282227,3924.615479,4615.897461,3957.948730,3852.820557,4275.897461,3934.871826,4192.307617,4116.922852,4044.102539,3941.538574,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.131122,60.000000,0.000000,3896.923096,4591.282227,4186.153809,4209.743652,3931.794922,4625.641113,3970.769287,3858.461426,4280.512695,3941.025635,4206.153809,4123.589844,4042.051270,3945.128174,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.138849,61.000000,0.000000,3894.358887,4579.487305,4183.077148,4209.230957,3928.718018,4612.820313,3934.358887,3850.769287,4271.282227,3944.102539,4197.948730,4121.025879,4045.128174,3940.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.146675,62.000000,0.000000,3897.948730,4582.563965,4189.230957,4215.384766,3935.897461,4611.282227,3934.358887,3849.743652,4270.769043,3942.051270,4196.922852,4122.563965,4064.102539,3943.076904,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.154401,63.000000,0.000000,3903.589844,4595.897461,4190.769043,4214.871582,3937.435791,4613.846191,3943.076904,3852.307617,4275.897461,3937.948730,4207.179688,4125.641113,4071.794922,3947.179443,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.162226,64.000000,0.000000,3901.538574,4591.794922,4186.153809,4214.871582,3923.076904,4607.179688,3922.051270,3852.307617,4275.384766,3938.461426,4205.641113,4124.102539,4056.410156,3943.589844,0.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.169952,65.000000,0.000000,3905.641113,4588.205078,4185.641113,4228.205078,3929.230713,4613.333496,3927.692383,3853.846191,4274.358887,3943.076904,4203.589844,4130.769043,4056.923096,3946.153809,419.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.177778,66.000000,0.000000,3904.615479,4591.794922,4188.205078,4227.179688,3945.128174,4619.487305,3941.025635,3852.307617,4271.794922,3942.564209,4204.615234,4131.794922,4064.102539,3948.718018,385.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.185503,67.000000,0.000000,3892.820557,4591.794922,4184.102539,4209.230957,3937.435791,4612.820313,3935.897461,3854.871826,4272.820313,3939.487061,4196.922852,4118.974121,4057.435791,3939.487061,444.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.193431,68.000000,0.000000,3894.358887,4588.717773,4184.615234,4210.256348,3914.871826,4605.641113,3933.846191,3858.461426,4276.410156,3940.512939,4193.846191,4120.000000,4052.820557,3937.948730,476.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.201259,69.000000,0.000000,3901.538574,4592.820313,4187.692383,4225.641113,3912.820557,4607.692383,3932.307617,3849.743652,4273.333496,3941.538574,4197.436035,4129.743652,4053.846191,3942.051270,412.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.209186,70.000000,0.000000,3898.974365,4593.333496,4192.307617,4224.102539,3925.641113,4608.205078,3928.718018,3837.435791,4264.102539,3937.948730,4191.794922,4126.153809,4052.820557,3942.051270,470.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
1602278927.217014,71.000000,0.000000,3898.974365,4586.666504,4190.769043,4220.512695,3932.820557,4604.102539,3926.666748,3842.564209,4263.077148,3936.923096,4189.230957,4122.051270,4048.205078,3942.564209,395.000000,4.000000,,,,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,2.000000,25.000000
